自动钓鱼 (跳过钓鱼小游戏，直接完美钓鱼！甚至鱼王都)
宠物之家 (为宠物提供了专属的小屋注意事项:注意：此)
史莱姆产品 (史莱姆球会根据史莱姆屋中史莱姆的颜色掉落)
全能酒桶 (酒桶现在可以发酵所有可出售的东西，包括但)
农民小帮手 (给你增加了一个小帮手，在种子无法成熟时提)
更多节日装饰 (该模组为节日添加了更多的装饰春季12-1)
堆叠酒窖 (这个MOD彻底革新了《星露谷物语》原本局)
洛离的服装5 ()
动态战斗 (你是否曾经梦想过或者因为《星露谷物语》固)
古典花园雕像方尖碑 (这个mod取代了美丽的古典雕像的方尖碑!)
豪华自动抚摸机 (这个mod增加了一个新的任务，最终导致玛)
更好的生活 (为《星露谷》添加了一份简单的扩展内容，包)
可探索的西部森林 (这个mod将花节区域添加为游戏的可访问区)
更多的野生浆果 (新增三种新浆果，且允许您在各自的季节从灌)
上帝模式 (一个真正的上帝模式，这样玩家会受到的所有)
日式巴士 (将巴士改为日式风格，如下图所示，特别的复)
显示mod来源 (一个分类的特殊项目和权力选项卡，附带了一)
矿石辐照器 (增加“矿石辐照器”机器，将普通矿石转化为)
女性版谢恩 (全新的女性版本的谢恩，全新的肖像和外观，)
工具组装 (厌倦了库存中有这么多工具？使用工具组装！)
口袋妖怪家具 (此mod添加了口袋妖怪的玩偶家具注意！！)
丰盛的哈雷 (你可以在不放弃自己兴趣的情况下获得成长！)
龙猫温室 (龙猫温室，希望你喜欢注意！！ 此mod与)
复古家具-重新着色 (对复古家具的重新着色。注意事项:注意：此)
动态对话框 (位置对话、每天多个、自定义通知等。特征：)
便宜的宠物 (通过让宠物和宠物碗更便宜来实现您的多宠物)
梯子灯 (使矿井梯子和竖井有轻微的发光，这样你就不)
小熊和兔子沙发和可爱的床 (在游戏中添加了非常可爱的小熊和兔子沙发和)
王者荣耀妲己皮肤 (在游戏中添加来自游戏《王者荣耀》中妲己的)
动态节日奖励 (使用之后玩家在节日中赢得的钱将是随机的，)
更好的火车战利品 (提高了火车掉落物品的质量注意事项:注意：)
古董电视机 (更换了电视的外观注意事项:注意：此MOD)
简单的抚摸 (在你的农场动物上显示一个心形气泡，直到你)
更多任务 (该模组大约增加了70个不同的任务。从第一)
动态鱼 (为游戏内的水生生物添加了动态效果注意事项)
更瘦的啤酒花 (该模组将啤酒花的棚架向中心移动一个像素，)
大猫 (该模组用毛茸茸的大猫替换了灰猫。好玩的m)
多箱子自动分类系统 (这个模组彻底革新了《星露谷物语》的储物系)
後之夏裙装与头发 ()
洛离的上衣与裙子30 (十套服装)
洛离的上衣与裙子29 (十套服装)
更好的武器属性 (这个mod在武器提示上显示了更多有用的武)
农舍地下室 (这个mod引入了新的地下室和浴室的装修菜)
工作坊 (这个模组添加了一个新的建筑物“工作坊”。)
神奇的树 (看那棵魔法树!它生长着金胡桃、气宝石、煤)
谢恩的活动扩展 (这个mod的目的是为角色谢恩增加更多的深)
雷欧的重新设计 (该模组为雷欧重新设计了新的肖像与模型，为)
终极存储系统 (这个mod彻底改变了您与库存的互动方式，)
巨型作物纹理修改 (这是一个简单的纹理模型，可以修改巨大作物)
鱼类宝可梦 (该模组增加了30种宝可梦，它们可以作为鱼)
抓娃娃机 (新增抓娃娃机，可以在罗宾处购买注意！！ )
更可爱的物品 (让一些物品看起来很可爱!包括神器宝藏;蝴)
钓鱼平衡调整模组汉化版 (这是一个平衡地调整星露谷物语中各种钓鱼方)
树木调整 (这个模组让你通过以下方式调整野生树木：改)
始终显示耐力值和血量 (始终显示耐力值和血量的具体数值。注意！！)
寻宝 (这个模组增加了可以打开宝藏的宝箱和袋子！)
改进的铁匠 (在铁匠铺里添加了七件新物品。铜棒：450)
更便宜的楼梯 (减少制作楼梯所需的石头数量。值是完全可定)
篱笆不会腐烂 (不要再害怕了，你的篱笆不会再腐烂了！去除)
雅吉山富饶谷寄宿公寓（全版本兼容） (如果今天天气好，昨天天气也好，你就能发现)
可爱粉彩魔法少女界面 (一个可爱的新的魔法少女界面注意事项:注意)
丰收季节 (添加了许多新的和平衡的作物到游戏中，以及)
被遗弃的新娘 (添加了一个被抛弃的新娘到游戏中，来自秘密)
富饶山谷 (星露谷是一个富饶的地方，那里的土地就像有)
小火马 (将马的外观替换成宝可梦中小火马的外观注意)
细致的人物头像 (对npc的头像进行细化处理，修改后的头像)
秋季重新着色 (该模组 这次重新着色的目的是让秋天看起来)
宝石重制 (因为星露谷中的宝石不是很好看，所以这个模)
银河弹弓 (安装该模组之后可以，在获得银河剑后仅以2)
野餐地毯 (重新着色活动中的地毯，并将其添加为可用于)
家具目录 (这个模组为游戏添加了新的家具目录，你只需)
配偶和室友buff (通过分享彼此的知识和技能来庆祝你们的婚姻)
飞高高 (你可以将你的孩子举起来，飞高高不止你的孩)
自然小径和地板 (该模组对游戏中可制作的路径和地板进行了简)
克苏鲁自定义NPC (这个mod将用一个自定义NPC克苏鲁取代)
自动宠物 (该模组确保所有的农场动物每天都被宠幸，最)
纤维礼物 (一个简单的mod，让每个人都喜欢收到纤维)
显示NPC名称 (一个简单的模组，它可以在游戏中为您显示每)
老化机 (老化机，它可以在几分钟内将葡萄酒、啤酒、)
女性版威利 (全新的女性版本的威利，全新的肖像和外观，)
咖啡扩展 (此mod添加了一系列咖啡和茶冰块（从桑迪)
新建筑-小型金属筒仓 (小而大的容量！它可以储存两倍于普通筒仓的)
更美观的谷仓和鸡舍 (这个模组改变了你的鸡舍和谷仓的外观注意事)
超级大温室 (一个更大的温室。注意事项:注意：此MOD)
大型农场 (一张大型、简单、新的农场地图。这是一个大)
鱼点饵 (扔一块鱼饵，看着鱼泡出现这个mod允许你)
农场制作简单套件 (这个mod提供了一个数组选项来定制您的农)
更好的混合种子 (混合种子现在什么都有可能种出来注意事项:)
潜伏在黑暗中 (东斯卡普的新成员，森。喜欢花，还有做衣服)
姜岛NPC大修 (对姜岛的npc进行了多方位调整。修改了贝)
宠物狗外观 (将原版狗的外观改成德牧、哈士奇、柴犬的外)
莱拉尼 (跟皮卡一样来自芬群岛的琥珀岛并正在攻读博)
怪物战利品动态效果 (为怪物战利品和宝物等添加了唯美的动态效果)
时尚花舞服饰及配饰 (一大堆的服装和配饰，以时尚感的花舞活动为)
维多利亚家具 - 天鹅套装 (这个模组为《星露谷物语》带来极致优雅的1)
单身女郎和离婚女士 (这个 模组 目前唯一的功能就是让游戏中的)
洛离的上衣与裙子17 (六套服装)
中央车站 (通过船只、公交车或火车前往其他模组的目的)
打招呼 (你可以和村民或者动物打招呼了y键打开表情)
猫饼宝箱 (猫饼代替宝箱美化，为玩家带来新的视觉体验)
庄稼扩张 (在游戏中增加了21种新作物，包括一些冬季)
塞巴斯蒂安的肖像与服装 (该模组改变了塞巴斯蒂安的肖像和精灵，包括)
自定义添加金币 (通过按自定义热键或定义自定义计划向农场添)
樱花用户界面 (一个用于工具栏、时钟、对话框、肖像、库存)
使用楼梯快速下降 (利用楼梯快速下降沙漠矿山(骷髅洞)解锁条)
沙漠住宅 (在沙漠中增加了一个小房子，里面有很多便利)
草莓奶牛 (新增一个生成草莓牛奶的草莓奶牛，草莓牛奶)
小熊猫 (添加了小熊猫作为谷仓动物，将掉落毛，在织)
威利鱼店小扩展 (随着你与威利的友谊不断加深，威利出售的东)
自动化的工业炉 (更好、自动化的工业炉使用方法：在罗宾的炉)
梦幻粉彩工具 (从简单的工具重新着色，给你梦幻般的氛围注)
更好的水晶制品 (这改变了可制作的水晶地板和水晶路径上的纹)
嫉妒回应 (当你和另一个角色约会时，配偶的嫉妒反应被)
乡村风格的墙壁和地板 (将农舍的墙壁和地板改成更具有乡村韵味的形)
水体优化 (对水体的视觉效果进行了优化注意事项:注意)
可耕地 (使任何地块可耕注意事项:注意：此MOD可)
丘陵农场 (一个连绵起伏的丘陵农场，左下角的围栏可以)
淘金碗升级 (为淘金碗解锁铁匠升级，等级越高的淘金碗获)
洛离的上衣与裙子3 ()
林中小店 (在秘密森林中增加了一座新建筑，在那里你可)
山谷中的自然 (在星露谷中增加多样的可捕捉生物，昆虫，小)
鱼纹理重绘 - 垃圾饵料装备 (这是鱼类纹理的重新绘制，它为垃圾、饵料、)
新增多种钓鱼池缸纹理 (这个mod为游戏中的鱼缸添加了一些替代纹)
果树修复-更近的种植，没有杂草阻挡生长 (厌倦了一棵小植物挡住你的大树?这个mod)
黄金南瓜 (想种金南瓜吗?现在，你可以了。加入金南瓜)
更容易钓鱼 (一个简单的mod，它令钓鱼变得更容易，它)
升级的桶 (该模组为原酒桶的升级版本，提高了空间效率)
海滩家具 (该模组为您带来新的海滩主题的家具，为玩家)
古雅生活 - 花園 (该模组为游戏添加了更多的花朵，其中包括1)
电影院家具 (该模组添加了电影院家具，你可以从旅行车中)
矮人出售廉价炸弹 (在1.6更新中，炸弹的价格变化如下:樱桃)
鸟舍 (鸟舍将花费你50,000,50条铁条，3)
旅行车提醒 (该模组会直接通知你的旅行车到了。注意！！)
三杯浓缩咖啡 (增加大杯咖啡，用三杯浓缩咖啡合成，可以持)
优化电影院体验 (抓娃娃机：可以在开始前选择该局游戏的次数)
帮助酒吧 (为酒吧增加了一系列的五个事件剧情和任务完)
交易银河武器 (这个模组使你可以与冒险家公会交易银河武器)
配偶间 - 免费装饰 (允许配偶随心所欲地装饰他们的房间。您可以)
危险天气 (为山谷添加更多天气模式。现在的天气对你很)
请记住我的生日 (这个模组改变了每个 NPC 在亲戚/朋友)
夏油杰 (添加了夏油杰作为NPC五条悟可能会跟着出)
温室入口无地砖 (拆除了温室入口的地砖。注意！！ 此mod)
充足的睡眠 (这个mod给玩家一个很好的理由早睡！如果)
轻松旅行 (通过回归权杖或魔剑快速传送到星露谷物语的)
更便宜的商店价格 (降低所有商店菜单目录商品的价格，并使稀有)
将浆果采集添加到日历 (将浆果采集日期添加到日历，还有彩虹贝壳注)
钓鱼变得容易套件 (这个mod提供了一个数组选项来定制您的钓)
多产作物 (这个模组可以让你为任何你想要的作物（包括)
自然色重新着色 (为游戏设计了一个全新的自然色色调激活该m)
宝可梦主题外观 (将动物们的外观替换成宝可梦们的外观，替换)
森林农场重制 (对森林农场进行了翻新重制，并且新增了几个)
随处生长的草 (原版的青草只会在可耕种土地上生长，改进以)
腐木 (在罗宾建造好你的酒窖后，德米特里厄斯会在)
金杰先生 (添加了一只猫作为npc到游戏中，他的名字)
新的树叶 (为游戏中的各类树木添加了全新的风格注意事)
格里安服装 (这个模组让你能在《星露谷物语》中穿上格里)
浪漫的户外家具套装 (这个模组添加了50多种美丽的西方户外家具)
新增酿酒厂建筑 (使用之后就能新增一个酿酒厂建筑，用于出售)
洛离的服装8 ()
浪漫的牧场建筑 (一个所有故事开始的小地方……你打开了你已)
法国乡村农舍 (另一种纹理模式，以农舍为特色，灵感来自法)
肯特婚姻模式 (一个mod，使肯特与2、3、4、6、8、)
大型动物产品 (这个mod增加了大山羊奶酪，大普通奶酪和)
树创建器 - 克隆器 (在皮埃尔的商店里，你可以买到一种非常有用)
三丽鸥农场动物 (添加了21个三丽鸥角色作为农场动物，以及)
爷爷的武器 (当你和爷爷谈话时，壁炉上方挂着一把剑，想)
木制家具 (该模组增加了37件家具和17张壁纸和地板)
蟹笼收集水生水母 (一个简单的mod，它允许蟹笼收集水生水母)
优质鱼塘 (当你把一条鱼放在鱼池里时，它的质量会被记)
